"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",23,41,0.560975609756098
"TP53","Nonsense_Mutation",14,41,0.341463414634146
"TP53","Splice_Site",4,41,0.0975609756097561
"NOTCH1","Missense_Mutation",16,24,0.666666666666667
"NOTCH1","Splice_Region",8,24,0.333333333333333
"ALK","Missense_Mutation",12,12,1
"KMT2C","Missense_Mutation",9,9,1
"EGFR","Missense_Mutation",8,8,1
"APC","Missense_Mutation",7,7,1
"STAG2","Splice_Site",7,7,1
"DNMT3A","Missense_Mutation",4,4,1
"ERBB2","Missense_Mutation",4,4,1
"JAK2","Missense_Mutation",4,4,1
"PIK3CA","Missense_Mutation",4,4,1
"SF3B1","Missense_Mutation",4,4,1
"KMT2D","Missense_Mutation",3,3,1
"NF1","Missense_Mutation",3,3,1
"PBRM1","Missense_Mutation",3,3,1
"BRCA1","Nonsense_Mutation",2,2,1
"KEAP1","Missense_Mutation",2,2,1
"PTEN","Missense_Mutation",2,2,1
