"gene","mutationType","mutation_records","total_records","fraction"
"ATM","Missense_Mutation",5,9,0.555555555555556
"ATM","Frame_Shift_Del",3,9,0.333333333333333
"ATM","Nonsense_Mutation",1,9,0.111111111111111
"ARID1A","Frame_Shift_Del",4,8,0.5
"ARID1A","Nonsense_Mutation",3,8,0.375
"ARID1A","Missense_Mutation",1,8,0.125
"FAT1","Missense_Mutation",4,5,0.8
"FAT1","Frame_Shift_Del",1,5,0.2
"KMT2D","Frame_Shift_Del",3,5,0.6
"KMT2D","Missense_Mutation",2,5,0.4
"STK11","Frame_Shift_Del",2,4,0.5
"STK11","Missense_Mutation",2,4,0.5
"CREBBP","Missense_Mutation",3,3,1
"MEN1","Frame_Shift_Del",3,3,1
"RB1","Frame_Shift_Ins",2,3,0.666666666666667
"RB1","Frame_Shift_Del",1,3,0.333333333333333
"EZH2","Splice_Site",2,2,1
"FGFR3","Missense_Mutation",2,2,1
"NF1","Missense_Mutation",2,2,1
"PRKAR1A","Missense_Mutation",1,2,0.5
"PRKAR1A","Splice_Site",1,2,0.5
"SETD2","Frame_Shift_Ins",1,2,0.5
"SETD2","Missense_Mutation",1,2,0.5
"ALK","Missense_Mutation",1,1,1
"CDH1","Nonsense_Mutation",1,1,1
"CDKN2A","Nonsense_Mutation",1,1,1
"ERBB2","Missense_Mutation",1,1,1
"MAP3K1","Missense_Mutation",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"PIK3CA","Missense_Mutation",1,1,1
"RNF43","Missense_Mutation",1,1,1
"RUNX1","Missense_Mutation",1,1,1
"SPOP","Missense_Mutation",1,1,1
"TERT","Missense_Mutation",1,1,1
"TSC1","Frame_Shift_Del",1,1,1
"TSC2","Missense_Mutation",1,1,1
