"gene","mutationType","mutation_records","total_records","fraction"
"NPM1","Frame_Shift_Ins",7,8,0.875
"NPM1","Missense_Mutation",1,8,0.125
"DNMT3A","Missense_Mutation",3,6,0.5
"DNMT3A","Splice_Site",2,6,0.333333333333333
"DNMT3A","Frame_Shift_Del",1,6,0.166666666666667
"TP53","Missense_Mutation",5,6,0.833333333333333
"TP53","Frame_Shift_Del",1,6,0.166666666666667
"IDH2","Missense_Mutation",5,5,1
"RUNX1","Missense_Mutation",3,4,0.75
"RUNX1","Frame_Shift_Ins",1,4,0.25
"FLT3","Missense_Mutation",3,3,1
"KRAS","Missense_Mutation",3,3,1
"CEBPA","In_Frame_Ins",1,2,0.5
"CEBPA","Missense_Mutation",1,2,0.5
"KIT","In_Frame_Ins",1,2,0.5
"KIT","Missense_Mutation",1,2,0.5
"NF1","Missense_Mutation",1,2,0.5
"NF1","Nonsense_Mutation",1,2,0.5
"IDH1","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"NRAS","Missense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
