"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",40,62,0.645161290322581
"TP53","Splice_Site",12,62,0.193548387096774
"TP53","Nonsense_Mutation",5,62,0.0806451612903226
"TP53","Frame_Shift_Del",4,62,0.0645161290322581
"TP53","In_Frame_Ins",1,62,0.0161290322580645
"RB1","Splice_Site",18,46,0.391304347826087
"RB1","Nonsense_Mutation",13,46,0.282608695652174
"RB1","Frame_Shift_Del",9,46,0.195652173913043
"RB1","Frame_Shift_Ins",6,46,0.130434782608696
"KMT2A","Missense_Mutation",12,17,0.705882352941177
"KMT2A","Nonsense_Mutation",5,17,0.294117647058824
"PTEN","Missense_Mutation",14,16,0.875
"PTEN","Frame_Shift_Del",1,16,0.0625
"PTEN","Splice_Site",1,16,0.0625
"KMT2D","Missense_Mutation",5,9,0.555555555555556
"KMT2D","Nonsense_Mutation",3,9,0.333333333333333
"KMT2D","Frame_Shift_Del",1,9,0.111111111111111
"NOTCH1","Missense_Mutation",4,8,0.5
"NOTCH1","Splice_Site",3,8,0.375
"NOTCH1","Frame_Shift_Del",1,8,0.125
"BRCA2","Missense_Mutation",4,7,0.571428571428571
"BRCA2","Frame_Shift_Del",3,7,0.428571428571429
"NF1","Frame_Shift_Del",3,7,0.428571428571429
"NF1","Nonsense_Mutation",2,7,0.285714285714286
"NF1","Missense_Mutation",1,7,0.142857142857143
"NF1","Splice_Site",1,7,0.142857142857143
"CREBBP","Missense_Mutation",5,6,0.833333333333333
"CREBBP","Splice_Site",1,6,0.166666666666667
"EGFR","Missense_Mutation",6,6,1
"FAT1","Missense_Mutation",5,6,0.833333333333333
"FAT1","Frame_Shift_Del",1,6,0.166666666666667
"FGFR1","Missense_Mutation",5,5,1
"JAK2","Missense_Mutation",5,5,1
"SETD2","Missense_Mutation",5,5,1
"ARID1A","Missense_Mutation",4,4,1
"CDKN2A","Missense_Mutation",4,4,1
"PIK3CA","Missense_Mutation",4,4,1
"TET2","Missense_Mutation",3,4,0.75
"TET2","Nonsense_Mutation",1,4,0.25
"APC","Nonsense_Mutation",2,3,0.666666666666667
"APC","Missense_Mutation",1,3,0.333333333333333
"KIT","Missense_Mutation",3,3,1
"VHL","Nonsense_Mutation",3,3,1
"AR","In_Frame_Ins",1,2,0.5
"AR","Missense_Mutation",1,2,0.5
"ATM","Missense_Mutation",1,2,0.5
"ATM","Nonsense_Mutation",1,2,0.5
"CTNNB1","Missense_Mutation",2,2,1
"ESR1","Missense_Mutation",2,2,1
"EZH2","Missense_Mutation",2,2,1
"GATA3","Missense_Mutation",2,2,1
"KDM6A","Nonsense_Mutation",2,2,1
"KRAS","Missense_Mutation",2,2,1
"MAP3K1","Missense_Mutation",1,2,0.5
"MAP3K1","Nonsense_Mutation",1,2,0.5
"NRAS","Missense_Mutation",2,2,1
"PBRM1","Missense_Mutation",1,2,0.5
"PBRM1","Nonsense_Mutation",1,2,0.5
"PRKAR1A","Missense_Mutation",1,2,0.5
"PRKAR1A","Splice_Site",1,2,0.5
"RET","Missense_Mutation",2,2,1
"TERT","Missense_Mutation",2,2,1
"TSC2","In_Frame_Del",2,2,1
"ATRX","Missense_Mutation",1,1,1
"BRAF","Missense_Mutation",1,1,1
"BRCA1","Missense_Mutation",1,1,1
"CDH1","Missense_Mutation",1,1,1
"CDK4","Missense_Mutation",1,1,1
"CEBPA","Missense_Mutation",1,1,1
"DNMT3A","Missense_Mutation",1,1,1
"EP300","Missense_Mutation",1,1,1
"ERBB2","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"GNAS","Missense_Mutation",1,1,1
"KMT2C","Missense_Mutation",1,1,1
"MYD88","Frame_Shift_Del",1,1,1
"PTCH1","Nonsense_Mutation",1,1,1
"RNF43","Missense_Mutation",1,1,1
"RUNX1","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"SPOP","Missense_Mutation",1,1,1
"STAG2","Missense_Mutation",1,1,1
"TSC1","Missense_Mutation",1,1,1
