"gene","mutationType","mutation_records","total_records","fraction"
"FLT3","In_Frame_Ins",133,202,0.658415841584158
"FLT3","Missense_Mutation",59,202,0.292079207920792
"FLT3","In_Frame_Del",7,202,0.0346534653465347
"FLT3","Nonsense_Mutation",3,202,0.0148514851485149
"DNMT3A","Missense_Mutation",109,151,0.721854304635762
"DNMT3A","Frame_Shift_Del",16,151,0.105960264900662
"DNMT3A","Nonsense_Mutation",15,151,0.0993377483443709
"DNMT3A","Splice_Site",6,151,0.0397350993377483
"DNMT3A","Frame_Shift_Ins",4,151,0.0264900662251656
"DNMT3A","In_Frame_Del",1,151,0.00662251655629139
"NPM1","Frame_Shift_Ins",134,136,0.985294117647059
"NPM1","Missense_Mutation",2,136,0.0147058823529412
"TET2","Frame_Shift_Del",38,106,0.358490566037736
"TET2","Nonsense_Mutation",28,106,0.264150943396226
"TET2","Frame_Shift_Ins",15,106,0.141509433962264
"TET2","Missense_Mutation",15,106,0.141509433962264
"TET2","Splice_Site",7,106,0.0660377358490566
"TET2","In_Frame_Del",3,106,0.0283018867924528
"RUNX1","Nonsense_Mutation",27,86,0.313953488372093
"RUNX1","Missense_Mutation",25,86,0.290697674418605
"RUNX1","Frame_Shift_Ins",20,86,0.232558139534884
"RUNX1","Frame_Shift_Del",12,86,0.13953488372093
"RUNX1","Splice_Site",2,86,0.0232558139534884
"NRAS","Missense_Mutation",78,78,1
"IDH2","Missense_Mutation",75,75,1
"WT1","Frame_Shift_Ins",35,75,0.466666666666667
"WT1","Nonsense_Mutation",14,75,0.186666666666667
"WT1","Splice_Site",11,75,0.146666666666667
"WT1","Frame_Shift_Del",10,75,0.133333333333333
"WT1","Missense_Mutation",5,75,0.0666666666666667
"TP53","Missense_Mutation",47,67,0.701492537313433
"TP53","Splice_Site",11,67,0.164179104477612
"TP53","Frame_Shift_Del",4,67,0.0597014925373134
"TP53","Nonsense_Mutation",3,67,0.0447761194029851
"TP53","Frame_Shift_Ins",2,67,0.0298507462686567
"IDH1","Missense_Mutation",54,54,1
"CEBPA","Frame_Shift_Ins",16,43,0.372093023255814
"CEBPA","Frame_Shift_Del",10,43,0.232558139534884
"CEBPA","Nonsense_Mutation",7,43,0.162790697674419
"CEBPA","In_Frame_Ins",6,43,0.13953488372093
"CEBPA","Missense_Mutation",3,43,0.0697674418604651
"CEBPA","In_Frame_Del",1,43,0.0232558139534884
"STAG2","Nonsense_Mutation",13,33,0.393939393939394
"STAG2","Frame_Shift_Ins",9,33,0.272727272727273
"STAG2","Splice_Site",6,33,0.181818181818182
"STAG2","Missense_Mutation",3,33,0.0909090909090909
"STAG2","Frame_Shift_Del",2,33,0.0606060606060606
"SF3B1","Missense_Mutation",32,32,1
"JAK2","Missense_Mutation",28,28,1
"KRAS","Missense_Mutation",25,26,0.961538461538462
"KRAS","Nonsense_Mutation",1,26,0.0384615384615385
"EZH2","Missense_Mutation",10,24,0.416666666666667
"EZH2","Frame_Shift_Ins",7,24,0.291666666666667
"EZH2","Frame_Shift_Del",3,24,0.125
"EZH2","Nonsense_Mutation",2,24,0.0833333333333333
"EZH2","Splice_Site",2,24,0.0833333333333333
"KIT","Missense_Mutation",10,12,0.833333333333333
"KIT","In_Frame_Del",1,12,0.0833333333333333
"KIT","In_Frame_Ins",1,12,0.0833333333333333
"NF1","Missense_Mutation",5,12,0.416666666666667
"NF1","Nonsense_Mutation",4,12,0.333333333333333
"NF1","Translation_Start_Site",2,12,0.166666666666667
"NF1","Splice_Site",1,12,0.0833333333333333
"GNAS","Missense_Mutation",6,7,0.857142857142857
"GNAS","In_Frame_Ins",1,7,0.142857142857143
"GATA3","Missense_Mutation",5,5,1
"KDM6A","Frame_Shift_Ins",4,5,0.8
"KDM6A","Nonsense_Mutation",1,5,0.2
"KMT2D","Frame_Shift_Del",3,5,0.6
"KMT2D","Nonsense_Mutation",2,5,0.4
"SETD2","Missense_Mutation",2,4,0.5
"SETD2","Frame_Shift_Del",1,4,0.25
"SETD2","Splice_Site",1,4,0.25
"ARID1A","Frame_Shift_Del",3,3,1
"PTEN","Missense_Mutation",2,2,1
"ALK","Missense_Mutation",1,1,1
"APC","Missense_Mutation",1,1,1
"ATRX","Frame_Shift_Ins",1,1,1
"BRAF","Missense_Mutation",1,1,1
"BRCA1","Missense_Mutation",1,1,1
"CDKN2A","Nonsense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"MAP3K1","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"MYD88","Missense_Mutation",1,1,1
"PIK3CA","Missense_Mutation",1,1,1
"STK11","Missense_Mutation",1,1,1
"ZNRF3","Missense_Mutation",1,1,1
