"gene","mutationType","mutation_records","total_records","fraction"
"KDM6A","Frame_Shift_Del",39,119,0.327731092436975
"KDM6A","Nonsense_Mutation",37,119,0.310924369747899
"KDM6A","Missense_Mutation",36,119,0.302521008403361
"KDM6A","Frame_Shift_Ins",5,119,0.0420168067226891
"KDM6A","In_Frame_Ins",2,119,0.0168067226890756
"TERT","5'Flank",112,112,1
"KMT2D","Missense_Mutation",39,106,0.367924528301887
"KMT2D","Frame_Shift_Del",26,106,0.245283018867925
"KMT2D","Nonsense_Mutation",18,106,0.169811320754717
"KMT2D","Frame_Shift_Ins",16,106,0.150943396226415
"KMT2D","Splice_Site",6,106,0.0566037735849057
"KMT2D","In_Frame_Ins",1,106,0.00943396226415094
"FGFR3","Missense_Mutation",83,83,1
"KMT2C","Nonsense_Mutation",41,80,0.5125
"KMT2C","Missense_Mutation",33,80,0.4125
"KMT2C","Frame_Shift_Del",6,80,0.075
"ARID1A","Missense_Mutation",17,49,0.346938775510204
"ARID1A","Frame_Shift_Del",14,49,0.285714285714286
"ARID1A","Nonsense_Mutation",11,49,0.224489795918367
"ARID1A","Frame_Shift_Ins",4,49,0.0816326530612245
"ARID1A","In_Frame_Del",3,49,0.0612244897959184
"PIK3CA","Missense_Mutation",44,44,1
"TP53","Missense_Mutation",37,37,1
"STAG2","Missense_Mutation",12,29,0.413793103448276
"STAG2","Frame_Shift_Del",11,29,0.379310344827586
"STAG2","Nonsense_Mutation",6,29,0.206896551724138
"ERBB2","Missense_Mutation",25,25,1
"CTNNB1","Missense_Mutation",24,24,1
"MTOR","Missense_Mutation",24,24,1
"ATRX","Missense_Mutation",15,18,0.833333333333333
"ATRX","In_Frame_Ins",3,18,0.166666666666667
"NF1","Missense_Mutation",12,18,0.666666666666667
"NF1","Nonsense_Mutation",6,18,0.333333333333333
"DNMT3A","Missense_Mutation",16,16,1
"CDKN2A","Nonsense_Mutation",12,12,1
"MYD88","Missense_Mutation",12,12,1
"FBXW7","Missense_Mutation",6,11,0.545454545454545
"FBXW7","Nonsense_Mutation",5,11,0.454545454545455
"ALK","Missense_Mutation",10,10,1
"BRAF","Missense_Mutation",10,10,1
"CEBPA","In_Frame_Del",7,10,0.7
"CEBPA","Missense_Mutation",3,10,0.3
"GATA3","Missense_Mutation",7,10,0.7
"GATA3","Frame_Shift_Del",3,10,0.3
"NRAS","Missense_Mutation",9,9,1
"JAK2","Frame_Shift_Del",4,8,0.5
"JAK2","Missense_Mutation",4,8,0.5
"NOTCH1","Missense_Mutation",8,8,1
"SETD2","Missense_Mutation",8,8,1
"SF3B1","Missense_Mutation",8,8,1
"VHL","Missense_Mutation",8,8,1
"CDH1","Missense_Mutation",7,7,1
"RB1","Frame_Shift_Ins",7,7,1
"BAP1","Missense_Mutation",6,6,1
"EGFR","Missense_Mutation",6,6,1
"KRAS","Missense_Mutation",6,6,1
"MEN1","Frame_Shift_Del",6,6,1
"PBRM1","Missense_Mutation",6,6,1
"RUNX1","Missense_Mutation",4,5,0.8
"RUNX1","In_Frame_Del",1,5,0.2
"STK11","Splice_Site",4,5,0.8
"STK11","Missense_Mutation",1,5,0.2
"BRCA1","Frame_Shift_Del",4,4,1
"BRCA2","Missense_Mutation",4,4,1
"FLT3","Missense_Mutation",4,4,1
"KIT","Missense_Mutation",4,4,1
"TET2","Missense_Mutation",4,4,1
"RNF43","Missense_Mutation",3,3,1
"IDH1","Missense_Mutation",2,2,1
"PTEN","Missense_Mutation",2,2,1
"APC","Missense_Mutation",1,1,1
"MAP3K1","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
