"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",139,140,0.992857142857143
"PIK3CA","In_Frame_Del",1,140,0.00714285714285714
"TP53","Missense_Mutation",45,74,0.608108108108108
"TP53","Nonsense_Mutation",17,74,0.22972972972973
"TP53","Frame_Shift_Del",7,74,0.0945945945945946
"TP53","Splice_Site",3,74,0.0405405405405405
"TP53","Frame_Shift_Ins",1,74,0.0135135135135135
"TP53","In_Frame_Del",1,74,0.0135135135135135
"ESR1","Missense_Mutation",60,60,1
"NF1","Missense_Mutation",15,28,0.535714285714286
"NF1","Nonsense_Mutation",9,28,0.321428571428571
"NF1","Frame_Shift_Del",2,28,0.0714285714285714
"NF1","Splice_Site",2,28,0.0714285714285714
"ARID1A","Missense_Mutation",12,25,0.48
"ARID1A","Nonsense_Mutation",6,25,0.24
"ARID1A","Frame_Shift_Ins",4,25,0.16
"ARID1A","Frame_Shift_Del",2,25,0.08
"ARID1A","Splice_Region",1,25,0.04
"APC","Missense_Mutation",22,24,0.916666666666667
"APC","Nonsense_Mutation",2,24,0.0833333333333333
"BRCA2","Missense_Mutation",17,21,0.80952380952381
"BRCA2","In_Frame_Del",2,21,0.0952380952380952
"BRCA2","Nonsense_Mutation",2,21,0.0952380952380952
"CDH1","Frame_Shift_Ins",7,19,0.368421052631579
"CDH1","Missense_Mutation",5,19,0.263157894736842
"CDH1","Frame_Shift_Del",4,19,0.210526315789474
"CDH1","Nonsense_Mutation",1,19,0.0526315789473684
"CDH1","Splice_Site",1,19,0.0526315789473684
"CDH1","Translation_Start_Site",1,19,0.0526315789473684
"EGFR","Missense_Mutation",16,17,0.941176470588235
"EGFR","In_Frame_Del",1,17,0.0588235294117647
"MTOR","Missense_Mutation",13,17,0.764705882352941
"MTOR","Nonsense_Mutation",3,17,0.176470588235294
"MTOR","In_Frame_Del",1,17,0.0588235294117647
"KIT","Missense_Mutation",12,16,0.75
"KIT","Frame_Shift_Del",2,16,0.125
"KIT","Splice_Site",2,16,0.125
"PTEN","Missense_Mutation",11,16,0.6875
"PTEN","Nonsense_Mutation",3,16,0.1875
"PTEN","Frame_Shift_Del",1,16,0.0625
"PTEN","Frame_Shift_Ins",1,16,0.0625
"RB1","Nonsense_Mutation",7,12,0.583333333333333
"RB1","Frame_Shift_Del",2,12,0.166666666666667
"RB1","Missense_Mutation",2,12,0.166666666666667
"RB1","Frame_Shift_Ins",1,12,0.0833333333333333
"BRAF","Missense_Mutation",10,11,0.909090909090909
"BRAF","Nonsense_Mutation",1,11,0.0909090909090909
"BRCA1","Missense_Mutation",10,11,0.909090909090909
"BRCA1","Nonsense_Mutation",1,11,0.0909090909090909
"GATA3","Frame_Shift_Ins",10,11,0.909090909090909
"GATA3","Missense_Mutation",1,11,0.0909090909090909
"NOTCH1","Missense_Mutation",8,8,1
"ERBB2","Missense_Mutation",6,7,0.857142857142857
"ERBB2","Nonsense_Mutation",1,7,0.142857142857143
"FGFR3","Missense_Mutation",6,7,0.857142857142857
"FGFR3","Nonsense_Mutation",1,7,0.142857142857143
"KRAS","Missense_Mutation",7,7,1
"KMT2C","Missense_Mutation",4,6,0.666666666666667
"KMT2C","Nonsense_Mutation",2,6,0.333333333333333
"ALK","Missense_Mutation",5,5,1
"CDKN2A","Missense_Mutation",5,5,1
"MAP3K1","Frame_Shift_Del",3,5,0.6
"MAP3K1","Frame_Shift_Ins",2,5,0.4
"SMAD4","Missense_Mutation",4,5,0.8
"SMAD4","Nonsense_Mutation",1,5,0.2
"STK11","Missense_Mutation",4,5,0.8
"STK11","Splice_Site",1,5,0.2
"HRAS","Missense_Mutation",4,4,1
"FBXW7","Missense_Mutation",2,2,1
"RUNX1","Frame_Shift_Ins",1,2,0.5
"RUNX1","Missense_Mutation",1,2,0.5
"SF3B1","Missense_Mutation",2,2,1
"TERT","Missense_Mutation",2,2,1
"BAP1","Missense_Mutation",1,1,1
"EZH2","Missense_Mutation",1,1,1
"JAK2","Missense_Mutation",1,1,1
"KMT2D","Missense_Mutation",1,1,1
"RNF43","Missense_Mutation",1,1,1
"TET2","Missense_Mutation",1,1,1
