"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",46,57,0.807017543859649
"TP53","Nonsense_Mutation",10,57,0.175438596491228
"TP53","Splice_Site",1,57,0.0175438596491228
"BRAF","Missense_Mutation",42,42,1
"NRAS","Missense_Mutation",19,19,1
"PIK3CA","Missense_Mutation",16,16,1
"BRCA1","Missense_Mutation",12,12,1
"NOTCH1","Missense_Mutation",12,12,1
"KMT2D","Missense_Mutation",11,11,1
"BRCA2","Missense_Mutation",10,10,1
"APC","Missense_Mutation",5,7,0.714285714285714
"APC","Nonsense_Mutation",2,7,0.285714285714286
"NF1","Missense_Mutation",4,7,0.571428571428571
"NF1","Nonsense_Mutation",3,7,0.428571428571429
"TET2","Missense_Mutation",6,7,0.857142857142857
"TET2","Nonsense_Mutation",1,7,0.142857142857143
"KMT2C","Missense_Mutation",5,6,0.833333333333333
"KMT2C","Nonsense_Mutation",1,6,0.166666666666667
"SETD2","Missense_Mutation",6,6,1
"ATRX","Missense_Mutation",5,5,1
"CDH1","Missense_Mutation",5,5,1
"CTNNB1","Missense_Mutation",5,5,1
"HRAS","Missense_Mutation",5,5,1
"MEN1","Missense_Mutation",4,4,1
"PTEN","Missense_Mutation",2,4,0.5
"PTEN","Nonsense_Mutation",2,4,0.5
"RUNX1","Missense_Mutation",4,4,1
"ALK","Missense_Mutation",3,3,1
"ESR1","Missense_Mutation",3,3,1
"KDM6A","Missense_Mutation",3,3,1
"KRAS","Missense_Mutation",3,3,1
"RB1","Missense_Mutation",2,3,0.666666666666667
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"RNF43","Missense_Mutation",3,3,1
"SF3B1","Missense_Mutation",3,3,1
"STK11","Missense_Mutation",2,3,0.666666666666667
"STK11","Nonsense_Mutation",1,3,0.333333333333333
"BAP1","Missense_Mutation",2,2,1
"CDKN2A","Missense_Mutation",1,2,0.5
"CDKN2A","Nonsense_Mutation",1,2,0.5
"DNMT3A","Missense_Mutation",2,2,1
"ERBB2","Missense_Mutation",2,2,1
"MAP3K1","Missense_Mutation",2,2,1
"MTOR","Missense_Mutation",2,2,1
"ARID1A","Missense_Mutation",1,1,1
"CD79B","Missense_Mutation",1,1,1
"EZH2","Missense_Mutation",1,1,1
"FBXW7","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"FLT3","Missense_Mutation",1,1,1
"GNAS","Missense_Mutation",1,1,1
"IDH2","Missense_Mutation",1,1,1
"JAK2","Missense_Mutation",1,1,1
"KEAP1","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"STAG2","Missense_Mutation",1,1,1
"TERT","Missense_Mutation",1,1,1
"ZNRF3","Missense_Mutation",1,1,1
