"gene","mutationType","mutation_records","total_records","fraction"
"FOXA1","Frame_Shift_Del",37,67,0.552238805970149
"FOXA1","Missense_Mutation",19,67,0.283582089552239
"FOXA1","In_Frame_Del",6,67,0.0895522388059701
"FOXA1","Splice_Site",4,67,0.0597014925373134
"FOXA1","Frame_Shift_Ins",1,67,0.0149253731343284
"TP53","Missense_Mutation",38,51,0.745098039215686
"TP53","Nonsense_Mutation",11,51,0.215686274509804
"TP53","Frame_Shift_Del",1,51,0.0196078431372549
"TP53","Splice_Site",1,51,0.0196078431372549
"KMT2C","Missense_Mutation",8,26,0.307692307692308
"KMT2C","Frame_Shift_Del",6,26,0.230769230769231
"KMT2C","Frame_Shift_Ins",6,26,0.230769230769231
"KMT2C","Nonsense_Mutation",4,26,0.153846153846154
"KMT2C","Splice_Site",2,26,0.0769230769230769
"NOTCH1","Missense_Mutation",17,21,0.80952380952381
"NOTCH1","Frame_Shift_Del",4,21,0.19047619047619
"APC","Frame_Shift_Del",9,20,0.45
"APC","Missense_Mutation",5,20,0.25
"APC","Frame_Shift_Ins",4,20,0.2
"APC","Nonsense_Mutation",2,20,0.1
"FAT1","Missense_Mutation",10,18,0.555555555555556
"FAT1","Frame_Shift_Del",8,18,0.444444444444444
"PTEN","Frame_Shift_Del",9,18,0.5
"PTEN","Splice_Site",6,18,0.333333333333333
"PTEN","Missense_Mutation",2,18,0.111111111111111
"PTEN","Frame_Shift_Ins",1,18,0.0555555555555556
"SPOP","Missense_Mutation",18,18,1
"AR","Missense_Mutation",15,15,1
"CDH1","Missense_Mutation",14,14,1
"KMT2D","Missense_Mutation",10,14,0.714285714285714
"KMT2D","Frame_Shift_Del",3,14,0.214285714285714
"KMT2D","Nonsense_Mutation",1,14,0.0714285714285714
"RB1","Missense_Mutation",6,13,0.461538461538462
"RB1","Splice_Site",3,13,0.230769230769231
"RB1","Frame_Shift_Ins",2,13,0.153846153846154
"RB1","Frame_Shift_Del",1,13,0.0769230769230769
"RB1","Nonsense_Mutation",1,13,0.0769230769230769
"BRCA2","Nonsense_Mutation",9,12,0.75
"BRCA2","Missense_Mutation",3,12,0.25
"CTNNB1","Missense_Mutation",12,12,1
"KMT2A","Missense_Mutation",5,11,0.454545454545455
"KMT2A","Nonsense_Mutation",5,11,0.454545454545455
"KMT2A","Frame_Shift_Del",1,11,0.0909090909090909
"ATM","Missense_Mutation",9,10,0.9
"ATM","Frame_Shift_Ins",1,10,0.1
"BRCA1","Missense_Mutation",6,10,0.6
"BRCA1","Frame_Shift_Del",4,10,0.4
"CREBBP","Missense_Mutation",10,10,1
"PTCH1","Missense_Mutation",6,8,0.75
"PTCH1","Frame_Shift_Del",2,8,0.25
"KDM6A","Nonsense_Mutation",6,7,0.857142857142857
"KDM6A","Missense_Mutation",1,7,0.142857142857143
"EZH2","Missense_Mutation",6,6,1
"SETD2","Missense_Mutation",4,6,0.666666666666667
"SETD2","Frame_Shift_Del",2,6,0.333333333333333
"STK11","Missense_Mutation",6,6,1
"EP300","Missense_Mutation",5,5,1
"FGFR1","Missense_Mutation",5,5,1
"FGFR3","Missense_Mutation",5,5,1
"KIT","Splice_Site",3,5,0.6
"KIT","Missense_Mutation",2,5,0.4
"PIK3CA","Missense_Mutation",5,5,1
"SMO","Nonsense_Mutation",5,5,1
"MAP3K1","Missense_Mutation",4,4,1
"RNF43","Frame_Shift_Del",2,4,0.5
"RNF43","Missense_Mutation",1,4,0.25
"RNF43","Nonsense_Mutation",1,4,0.25
"TSC2","Missense_Mutation",4,4,1
"ALK","Missense_Mutation",3,3,1
"ATRX","Missense_Mutation",3,3,1
"BAP1","Missense_Mutation",3,3,1
"EGFR","Missense_Mutation",3,3,1
"BRAF","Missense_Mutation",1,2,0.5
"BRAF","Nonsense_Mutation",1,2,0.5
"DNMT3A","Missense_Mutation",2,2,1
"FBXW7","Missense_Mutation",1,2,0.5
"FBXW7","Nonsense_Mutation",1,2,0.5
"IDH1","Frame_Shift_Ins",2,2,1
"MYD88","Frame_Shift_Del",1,2,0.5
"MYD88","Missense_Mutation",1,2,0.5
"SMAD4","Missense_Mutation",2,2,1
"ARID1A","Frame_Shift_Del",1,1,1
"BCL2","Missense_Mutation",1,1,1
"ERBB2","Nonsense_Mutation",1,1,1
"FLT3","Missense_Mutation",1,1,1
"GATA3","Missense_Mutation",1,1,1
"HRAS","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"SUFU","Missense_Mutation",1,1,1
"TET2","Missense_Mutation",1,1,1
"VHL","Missense_Mutation",1,1,1
