"gene","mutationType","mutation_records","total_records","fraction"
"KMT2C","Missense_Mutation",31,32,0.96875
"KMT2C","Splice_Site",1,32,0.03125
"TERT","5'Flank",25,25,1
"FAT1","Missense_Mutation",23,24,0.958333333333333
"FAT1","Nonsense_Mutation",1,24,0.0416666666666667
"KMT2D","Missense_Mutation",23,23,1
"NOTCH1","Missense_Mutation",15,16,0.9375
"NOTCH1","Nonsense_Mutation",1,16,0.0625
"ATM","Missense_Mutation",12,12,1
"IDH1","Missense_Mutation",12,12,1
"TP53","Missense_Mutation",8,9,0.888888888888889
"TP53","In_Frame_Ins",1,9,0.111111111111111
"APC","Missense_Mutation",5,8,0.625
"APC","Nonsense_Mutation",2,8,0.25
"APC","In_Frame_Del",1,8,0.125
"ARID1A","Missense_Mutation",8,8,1
"CREBBP","Missense_Mutation",6,8,0.75
"CREBBP","In_Frame_Ins",1,8,0.125
"CREBBP","Nonsense_Mutation",1,8,0.125
"KMT2A","Missense_Mutation",6,7,0.857142857142857
"KMT2A","Splice_Site",1,7,0.142857142857143
"PTCH1","Missense_Mutation",7,7,1
"TET2","Missense_Mutation",7,7,1
"BRCA2","Missense_Mutation",6,6,1
"MAP3K1","Missense_Mutation",5,6,0.833333333333333
"MAP3K1","In_Frame_Ins",1,6,0.166666666666667
"ALK","Missense_Mutation",5,5,1
"AR","Missense_Mutation",3,5,0.6
"AR","In_Frame_Del",2,5,0.4
"CDH1","Missense_Mutation",5,5,1
"EP300","Missense_Mutation",5,5,1
"NF1","Missense_Mutation",2,5,0.4
"NF1","Nonsense_Mutation",2,5,0.4
"NF1","In_Frame_Del",1,5,0.2
"RUNX1","Missense_Mutation",5,5,1
"SETD2","Missense_Mutation",4,5,0.8
"SETD2","Nonsense_Mutation",1,5,0.2
"TSC2","Missense_Mutation",5,5,1
"FGFR1","Missense_Mutation",4,4,1
"MTOR","Missense_Mutation",4,4,1
"RET","Missense_Mutation",3,4,0.75
"RET","In_Frame_Ins",1,4,0.25
"RNF43","Missense_Mutation",4,4,1
"TSC1","Missense_Mutation",4,4,1
"ATRX","Missense_Mutation",3,3,1
"BRAF","Missense_Mutation",3,3,1
"CEBPA","In_Frame_Ins",2,3,0.666666666666667
"CEBPA","Missense_Mutation",1,3,0.333333333333333
"ESR1","Missense_Mutation",3,3,1
"EZH2","Missense_Mutation",3,3,1
"FGFR3","Missense_Mutation",3,3,1
"NRAS","Missense_Mutation",2,3,0.666666666666667
"NRAS","Nonsense_Mutation",1,3,0.333333333333333
"PRKAR1A","Missense_Mutation",3,3,1
"RB1","Frame_Shift_Del",1,3,0.333333333333333
"RB1","Missense_Mutation",1,3,0.333333333333333
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"SMO","Missense_Mutation",3,3,1
"EGFR","Missense_Mutation",1,2,0.5
"EGFR","Splice_Site",1,2,0.5
"ERBB2","Missense_Mutation",2,2,1
"FGFR2","Missense_Mutation",2,2,1
"FOXA1","Missense_Mutation",2,2,1
"KDM6A","Missense_Mutation",2,2,1
"PIK3CA","Missense_Mutation",2,2,1
"SUFU","Missense_Mutation",2,2,1
"WT1","Missense_Mutation",2,2,1
"BAP1","Missense_Mutation",1,1,1
"BCL2","Missense_Mutation",1,1,1
"CDK4","Missense_Mutation",1,1,1
"CDKN2A","Missense_Mutation",1,1,1
"FBXW7","Missense_Mutation",1,1,1
"FLT3","Missense_Mutation",1,1,1
"GATA3","Missense_Mutation",1,1,1
"GNAS","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"MDM2","Nonsense_Mutation",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"PIM1","Missense_Mutation",1,1,1
"SF3B1","Nonsense_Mutation",1,1,1
"SPOP","Missense_Mutation",1,1,1
